Categoría de indicador,Código indicador,Indicador,ISO3A código economía declarante,Economía declarante,ISO3A código economía asociada,Economía asociada,Clasificación de productos/sectores,Producto/Sector,Período,Frequencia,Código unidad,Unidad,Año,Valor
Importaciones bilaterales,HS_M_0010,"Importaciones bilaterales por códigos detallados del SA (2, 4, 6 dígitos)",CHT,Taipei Chino,MEX,México,Clasificación Sistema Armonizado,"Pescados y crustáceos, moluscos y demás invertebrados acuáticos",Anual,Anual,USD,Dólares EE.UU.,2019,1546000.0
Importaciones bilaterales,HS_M_0010,"Importaciones bilaterales por códigos detallados del SA (2, 4, 6 dígitos)",CHT,Taipei Chino,MEX,México,Clasificación Sistema Armonizado,"Los demás productos de origen animal, no expresados ni comprendidos en otra parte",Anual,Anual,USD,Dólares EE.UU.,2019,52000.0
Importaciones bilaterales,HS_M_0010,"Importaciones bilaterales por códigos detallados del SA (2, 4, 6 dígitos)",CHT,Taipei Chino,MEX,México,Clasificación Sistema Armonizado,"Hortalizas, plantas, raíces y tubérculos alimenticios",Anual,Anual,USD,Dólares EE.UU.,2019,1579000.0
Importaciones bilaterales,HS_M_0010,"Importaciones bilaterales por códigos detallados del SA (2, 4, 6 dígitos)",CHT,Taipei Chino,MEX,México,Clasificación Sistema Armonizado,"Frutas y frutos comestibles; cortezas de agrios (cítricos), melones o sandias",Anual,Anual,USD,Dólares EE.UU.,2019,224000.0
Importaciones bilaterales,HS_M_0010,"Importaciones bilaterales por códigos detallados del SA (2, 4, 6 dígitos)",CHT,Taipei Chino,MEX,México,Clasificación Sistema Armonizado,"Café, té, yerba mate y especias",Anual,Anual,USD,Dólares EE.UU.,2019,196000.0
Importaciones bilaterales,HS_M_0010,"Importaciones bilaterales por códigos detallados del SA (2, 4, 6 dígitos)",CHT,Taipei Chino,MEX,México,Clasificación Sistema Armonizado,Productos de la molinería; malta; almidón y fécula; inulina; gluten de trigo,Anual,Anual,USD,Dólares EE.UU.,2019,18000.0
Importaciones bilaterales,HS_M_0010,"Importaciones bilaterales por códigos detallados del SA (2, 4, 6 dígitos)",CHT,Taipei Chino,MEX,México,Clasificación Sistema Armonizado,Semillas y frutos oleaginosos; semillas y frutos diversos; plantas industriales o medicinales; paja y forrajes,Anual,Anual,USD,Dólares EE.UU.,2019,666000.0
Importaciones bilaterales,HS_M_0010,"Importaciones bilaterales por códigos detallados del SA (2, 4, 6 dígitos)",CHT,Taipei Chino,MEX,México,Clasificación Sistema Armonizado,"Gomas, resinas y demás jugos y extractos vegetales",Anual,Anual,USD,Dólares EE.UU.,2019,679000.0
Importaciones bilaterales,HS_M_0010,"Importaciones bilaterales por códigos detallados del SA (2, 4, 6 dígitos)",CHT,Taipei Chino,MEX,México,Clasificación Sistema Armonizado,"Materias trenzables y demás productos de origen vegetal, no expresados ni comprendidos en otra parte",Anual,Anual,USD,Dólares EE.UU.,2019,67000.0
Importaciones bilaterales,HS_M_0010,"Importaciones bilaterales por códigos detallados del SA (2, 4, 6 dígitos)",CHT,Taipei Chino,MEX,México,Clasificación Sistema Armonizado,Grasas y aceites animales o vegetales; productos de su desdoblamiento; grasas alimenticias elaboradas; ceras de origen animal o vegetal,Anual,Anual,USD,Dólares EE.UU.,2019,2987000.0
